Petition,URL,State,Signatures Count
Make incitement to gender hatred a criminal offence.,https://petition.parliament.uk/archived/petitions/104650,closed,77
To reintroduce the Burbot into UK rivers and lakes.,https://petition.parliament.uk/archived/petitions/104652,closed,77
Cut foreign aid. Why should foreign aid be exempt from austerity cuts?,https://petition.parliament.uk/archived/petitions/104655,closed,12136
We demand an apology from Rt Hon Jeremy Hunt for Breach of patient data.,https://petition.parliament.uk/archived/petitions/104660,closed,428
Jeremy Hunt to do more for people who suffer with fibromyalgia. There is no cure,https://petition.parliament.uk/archived/petitions/104662,closed,30
"Provide dedicated, support for veterans instead of relying on service charities",https://petition.parliament.uk/archived/petitions/104669,closed,188
Extend trade union bill to include donations from companies to political parties,https://petition.parliament.uk/archived/petitions/104670,closed,50
How banking works should be  part of the national curriculum.,https://petition.parliament.uk/archived/petitions/104671,closed,79
Hand responsibility for flying Vulcan XH558 to BBMF.,https://petition.parliament.uk/archived/petitions/104673,closed,156
restrict its trading with israel until it withdraws from building in palistine,https://petition.parliament.uk/archived/petitions/104674,closed,30
Abolish psychiatric electroconvulsive therapy – ECT - electroshock to the brain,https://petition.parliament.uk/archived/petitions/104681,closed,203
The abolishing of the House of Lords and replaced with an elected house,https://petition.parliament.uk/archived/petitions/104682,closed,289
Equal Rights For Fathers - By Law,https://petition.parliament.uk/archived/petitions/104683,closed,3020
Change the class of a moped to 40mph instead of 30mph,https://petition.parliament.uk/archived/petitions/104693,closed,37
Exempt the full-time minimum wage from NI contributions.,https://petition.parliament.uk/archived/petitions/104694,closed,55
Reduce the duty on fuel to European levels or lower.,https://petition.parliament.uk/archived/petitions/104695,closed,325
"Stop stand alone wind turbines taking over our countryside, and review the FIT",https://petition.parliament.uk/archived/petitions/104702,closed,383
Fairer Treatment before Prosecution of Experienced Drivers,https://petition.parliament.uk/archived/petitions/104704,closed,16
"PM to condemn Saudi Arabia, Qatar and Turkey for supporting ISIL terrorists",https://petition.parliament.uk/archived/petitions/104705,closed,1555
Very strict control on drones for private use.,https://petition.parliament.uk/archived/petitions/104710,closed,46
Compensate anyone who has had benefits withheld result in losing their home lots,https://petition.parliament.uk/archived/petitions/104712,closed,10
Make the environment and climate change issues far more important in UK politics,https://petition.parliament.uk/archived/petitions/104713,closed,76
Negotiate to ensure the safe release of ISIS prisoner British John Cantlie,https://petition.parliament.uk/archived/petitions/104723,closed,898
Make it law that all cyclists using the road must sit a test as all road users,https://petition.parliament.uk/archived/petitions/104727,closed,121
Make services available as a priority to victims of child abuse,https://petition.parliament.uk/archived/petitions/104733,closed,97
Amend the Road Traffic Act (1998) - cats killed on the road must be reported.,https://petition.parliament.uk/archived/petitions/104735,closed,5843
Suspend the Ecuadorian embassy's diplomatic status and arrest Julian Assange.,https://petition.parliament.uk/archived/petitions/104738,closed,7
