Petition,URL,State,Signatures Count
Mandate that patients are told if their NHS referral is to a private provider.,https://petition.parliament.uk/petitions/200792,closed,1374
Cancel HS2 immediately and repeal the 2013 and 2017 High Speed Rail Acts.,https://petition.parliament.uk/petitions/200793,closed,29843
Stop Kim Jong Un from ever coming to the UK.,https://petition.parliament.uk/petitions/200797,closed,36
Give parents the right to make an audio recording with social workers,https://petition.parliament.uk/petitions/200802,closed,519
Restore Capital Punishment for terror offences.,https://petition.parliament.uk/petitions/200813,closed,147
Require the late dialysis service at Manchester Royal Infirmary to continue,https://petition.parliament.uk/petitions/200815,closed,564
Allow Tyler the Creator back into the UK,https://petition.parliament.uk/petitions/200822,closed,166
Maternity pay to reflect your regular salary.,https://petition.parliament.uk/petitions/200824,closed,81
Outlaw the excessive noise levels that are associated with fireworks.,https://petition.parliament.uk/petitions/200826,closed,468
Allow women to carry pepper sprays for self defence.,https://petition.parliament.uk/petitions/200832,closed,240
Prescribe dance fitness classes on the NHS for everyone's good health,https://petition.parliament.uk/petitions/200840,closed,19
Smart Brexit:  Apply to rejoin EFTA,https://petition.parliament.uk/petitions/200842,closed,465
make the punishment for stealing tools from tradesmens vehicles harsher.,https://petition.parliament.uk/petitions/200845,closed,564
Cyclist should be subjected to a CBT type training prior to using the highways.,https://petition.parliament.uk/petitions/200850,closed,438
Stop The Closure Of Darlington A&E,https://petition.parliament.uk/petitions/200853,closed,1203
Reinstate the funding for the Underground Maths project.,https://petition.parliament.uk/petitions/200854,closed,20
Require routine scans for head and neck cancer patients after remission,https://petition.parliament.uk/petitions/200857,closed,27
A life sentence should mean there can never be the chance of parole.,https://petition.parliament.uk/petitions/200861,closed,246
Lower the voting age to 16,https://petition.parliament.uk/petitions/200874,closed,605
Ban the sale of animal fur in the UK.,https://petition.parliament.uk/petitions/200888,closed,109553
End entirely the BBC's self-regulating complaints procedure.,https://petition.parliament.uk/petitions/200890,closed,671
